ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Peru;Suriname;Venezuela;Herrero_Jauregui_et_al_2013;Piponiot_et_al_2019;number_individuals_ATDN_plots;number_plots_ATDN;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check_ITTO_commercial_spp;check_ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP_8.5;2050_RCP_2.6_2050_IGS;2050_RCP_2.6_2050_BAU;2050_RCP_8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
930;Stryphnodendron guianense;Fabaceae;Stryphnodendron;(Aubl.) Benth.;http://www.tropicos.org/Name/13033226;tree;0;0;0;0;0;0;0;0;1;1;1;292;75;154645786;8;19;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;EN;SA;0
931;Stryphnodendron polystachyum;Fabaceae;Stryphnodendron;(Miq.) Kleinhoonte;http://www.tropicos.org/Name/13001575;tree;0;0;0;0;0;0;0;1;1;1;1;252;113;56587866;7;75;0;NA;NA;0;0;NA;NA;NA;VU;VU;VU;VU;VU;VU;EN;GS;0
932;Stryphnodendron pulcherrimum;Fabaceae;Stryphnodendron;(Willd.) Hochr.;http://www.tropicos.org/Name/13001576;tree;0;0;0;0;0;0;0;1;0;0;1;152;105;69622692;7;84;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;EN;CR;SA;0
933;Swartzia arborescens;Fabaceae;Swartzia;(Aubl.) Pittier;http://www.tropicos.org/Name/13001674;tree;0;0;0;0;0;0;1;1;0;0;1;435;209;127007538;8;1;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
934;Swartzia bannia;Fabaceae;Swartzia;Sandwith;http://www.tropicos.org/Name/13001677;tree;0;0;0;0;0;0;0;1;0;0;0;597;24;101719452;8;1;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
935;Swartzia benthamiana;Fabaceae;Swartzia;Miq.;http://www.tropicos.org/Name/13001678;tree;0;0;0;0;0;1;0;1;0;0;0;245;68;139067938;8;14;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;GS;0
936;Swartzia grandifolia;Fabaceae;Swartzia;Bong. ex Benth.;http://www.tropicos.org/Name/13001718;tree;0;0;0;0;0;0;0;0;0;0;1;131;62;50626961;7;7;0;NA;NA;0;0;NA;NA;VU;VU;EN;EN;EN;EN;EN;CR;GS;0
937;Swartzia guianensis;Fabaceae;Swartzia;(Aubl.) Urb.;http://www.tropicos.org/Name/13001722;tree;0;0;0;0;0;0;0;1;0;0;0;21;14;4184581;6;62;0;NA;NA;0;0;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;GS;0
938;Swartzia jorori;Fabaceae;Swartzia;Harms;http://www.tropicos.org/Name/13001728;tree;1;0;0;0;0;0;0;0;0;1;0;71;23;23974842;7;38;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
939;Swartzia leiocalycina;Fabaceae;Swartzia;Benth.;http://www.tropicos.org/Name/13001736;tree;0;0;0;0;0;1;0;0;0;0;0;624;26;149581202;8;17;1;4;0.01;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
940;Swartzia littlei;Fabaceae;Swartzia;R.S. Cowan;http://www.tropicos.org/Name/13013527;tree;0;0;0;1;0;0;0;0;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;Endangered;2004;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
941;Swartzia longicarpa;Fabaceae;Swartzia;Amshoff;http://www.tropicos.org/Name/13001739;tree;0;0;0;0;0;0;0;1;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
942;Swartzia panacoco;Fabaceae;Swartzia;(Aubl.) R.S. Cowan;http://www.tropicos.org/Name/13013543;tree;0;0;0;0;1;0;0;0;0;0;1;404;127;106507337;8;3;0;NA;NA;0;0;Least Concern;2012;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
943;Swartzia pendula;Fabaceae;Swartzia;Spruce ex Benth.;http://www.tropicos.org/Name/13001776;tree;0;0;1;0;0;0;0;0;0;0;0;9;4;6251655;6;8;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;VU;WAN;0
944;Swartzia polyphylla;Fabaceae;Swartzia;DC.;http://www.tropicos.org/Name/13001786;tree;0;0;0;0;0;0;1;1;0;0;1;1778;340;472575675;8;67;1;4;0.06;0;0;Least Concern;2020;NA;VU;VU;VU;VU;VU;VU;EN;CA;0
945;Swartzia racemosa;Fabaceae;Swartzia;Benth.;http://www.tropicos.org/Name/13001789;tree;0;0;0;0;0;0;0;0;0;0;1;909;146;158248089;8;2;0;NA;NA;0;0;Least Concern;2020;NA;VU;VU;EN;EN;EN;EN;CR;CA;0
946;Swartzia recurva;Fabaceae;Swartzia;Poepp.;http://www.tropicos.org/Name/13001792;tree;0;0;0;0;0;0;0;0;0;0;1;1253;213;150783477;8;18;0;NA;NA;0;0;Least Concern;2019;VU;VU;VU;EN;EN;EN;EN;CR;CA;0
947;Swartzia remiger;Fabaceae;Swartzia;Amshoff;http://www.tropicos.org/Name/13001793;tree;0;0;0;0;0;0;0;1;0;0;0;50;8;7646908;6;88;0;NA;NA;0;0;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;GS;0
948;Swartzia schomburgkii;Fabaceae;Swartzia;Benth.;http://www.tropicos.org/Name/13001798;tree;0;0;0;0;0;0;0;1;0;0;0;444;113;173680727;8;24;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
949;Swietenia macrophylla;Meliaceae;Swietenia;King;http://www.tropicos.org/Name/20400346;tree;1;1;0;0;0;0;1;0;0;1;1;41;20;28081295;7;45;0;NA;NA;0;1;Vulnerable;1998;NA;VU;CR;CR;CR;CR;CR;CR;WAN;1
950;Symmeria paniculata;Polygonaceae;Symmeria;Benth.;http://www.tropicos.org/Name/26001034;shrub/ tree;0;0;0;0;0;0;0;1;1;0;0;376;63;161686009;8;21;0;NA;NA;0;0;NA;NA;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
951;Symphonia globulifera;Clusiaceae;Symphonia;L. f.;http://www.tropicos.org/Name/7800762;tree;0;1;0;1;1;1;1;1;0;1;1;2749;587;720574971;8;86;1;3;0.46;0;1;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;SA;0
952;Tabebuia fluviatilis;Bignoniaceae;Tabebuia;(Aubl.) DC.;http://www.tropicos.org/Name/3701580;tree;0;0;0;0;0;0;0;1;0;0;0;281;7;39423231;7;6;0;NA;NA;0;0;Least Concern;2021;VU;EN;CR;CR;CR;CR;CR;CR;GS;0
953;Tabebuia insignis;Bignoniaceae;Tabebuia;(Miq.) Sandwith;http://www.tropicos.org/Name/3700409;tree;0;0;0;0;0;0;0;1;0;0;1;727;33;185994286;8;27;0;NA;NA;0;0;Near Threatened;2021;VU;VU;VU;VU;VU;EN;VU;EN;GS;0
954;Tabebuia orinocensis;Bignoniaceae;Tabebuia;(Sandwith) A.H. Gentry;http://www.tropicos.org/Name/3701528;tree;0;0;1;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;Near Threatened;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
955;Tabebuia rosea;Bignoniaceae;Tabebuia;(Bertol.) DC.;http://www.tropicos.org/Name/3700648;tree;0;0;0;0;0;0;0;0;1;1;0;NA;NA;NA;NA;0;NA;NA;1;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
956;Tachigali glauca;Fabaceae;Tachigali;Tul.;http://www.tropicos.org/Name/13033319;tree;0;1;0;0;0;0;0;0;0;0;1;781;216;272139258;8;43;0;NA;NA;0;0;NA;NA;VU;VU;EN;VU;CR;CR;EN;CR;SA;0
957;Tachigali goeldiana;Fabaceae;Tachigali;(Huber) L.F. Gomes da Silva & H.C. Lima;http://www.tropicos.org/Name/50317936;tree;0;0;0;0;0;0;0;0;0;0;1;12;3;1487332;6;17;0;NA;NA;0;0;Least Concern;2020;NA;VU;EN;CR;EN;CR;CR;CR;CA;0
958;Tachigali guianensis;Fabaceae;Tachigali;(Benth.) Zarucchi & Herend.;http://www.tropicos.org/Name/13076107;tree;0;0;0;0;0;0;0;1;0;0;1;642;138;253396185;8;4;0;NA;NA;0;0;NA;NA;VU;VU;NA;VU;VU;VU;VU;EN;GS;0
959;Tachigali melinonii;Fabaceae;Tachigali;(Harms) Zarucchi & Herend.;http://www.tropicos.org/Name/13076109;tree;0;0;0;0;1;0;0;1;0;0;1;429;86;49307184;7;69;0;NA;NA;0;0;NA;NA;NA;VU;EN;CR;EN;CR;CR;CR;CA;0
960;Tachigali micropetala;Fabaceae;Tachigali;(Ducke) Zarucchi & Pipoly;http://www.tropicos.org/Name/50062807;tree;0;0;0;0;0;0;0;1;0;0;0;162;62;124763706;8;1;0;NA;NA;0;0;NA;NA;NA;VU;VU;VU;EN;EN;EN;EN;CA;0
961;Tachigali paniculata;Fabaceae;Tachigali;Aubl.;http://www.tropicos.org/Name/13033321;tree;0;0;1;0;0;0;0;1;0;0;1;1274;278;575088564;8;76;1;4;0.04;0;0;Least Concern;2012;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
962;Tachigali paraensis;Fabaceae;Tachigali;(Huber) Barneby;http://www.tropicos.org/Name/50072000;tree;0;0;0;0;0;0;0;1;0;0;1;337;105;67184006;7;83;0;NA;NA;0;0;NA;NA;VU;VU;EN;CR;CR;CR;CR;CR;GS;0
963;Tachigali richardiana;Fabaceae;Tachigali;Tul.;http://www.tropicos.org/Name/13033326;tree;0;0;0;0;0;0;0;0;0;0;1;74;26;9599694;6;98;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
964;Talisia carinata;Sapindaceae;Talisia;Radlk.;http://www.tropicos.org/Name/28600495;tree;0;0;0;0;0;0;0;1;0;0;0;16;9;9175300;6;96;0;NA;NA;0;0;Least Concern;2020;NA;VU;CR;CR;CR;CR;CR;CR;CA;0
965;Talisia furfuracea;Sapindaceae;Talisia;Sandwith;http://www.tropicos.org/Name/50202460;tree;0;0;0;0;0;0;0;1;0;0;0;39;25;5421273;6;73;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
966;Talisia guianensis;Sapindaceae;Talisia;Aubl.;http://www.tropicos.org/Name/28600885;tree;0;0;0;0;0;0;0;1;0;0;0;183;26;13977160;7;15;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
