ID;Accepted_species;Accepted_family;Genus_matched;Accepted_name_author;Accepted_name_url;life_form_Cardoso_et_al_2017;Bolivia;Brazil;Colombia;Ecuador;French_Guiana;Guyana;Peru;Suriname;Venezuela;Herrero_Jauregui_et_al_2013;Piponiot_et_al_2019;number_individuals_ATDN_plots;number_plots_ATDN;estimated_ind_Amazon;log10_est_ind_Amazon;check_hyperdominant_spp;Forest_type_IV_max_hyperdominant;IV.indcls_hyperdominant;check_ITTO_commercial_spp;check_ITTO_LUS_spp;redlistCategory_IUCN_2022;yearPublished_IUCN_2022;Original_AOO_2050_IGS;Original_AOO_2050_BAU;2050_RCP_2.6;2050_RCP_8.5;2050_RCP_2.6_2050_IGS;2050_RCP_2.6_2050_BAU;2050_RCP_8.5_2050_IGS;2050_RCP_8.5_2050_BAU;Sub_region_AOO;check_CITES;appendix_CITES
284;Duroia micrantha;Rubiaceae;Duroia;(Ladbr.) Zarucchi & J.H. Kirkbr.;http://www.tropicos.org/Name/27907005;tree;0;0;0;0;0;0;0;1;0;0;0;144;17;28089686;7;45;0;NA;NA;0;0;Least Concern;2019;NA;VU;NA;VU;VU;VU;VU;VU;GS;0
285;Dussia tessmannii;Fabaceae;Dussia;Harms;http://www.tropicos.org/Name/13000618;tree;0;0;0;0;0;0;1;0;0;0;0;111;69;37670289;7;58;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;WAN;0
286;Ecclinusa guianensis;Sapotaceae;Ecclinusa;Eyma;http://www.tropicos.org/Name/28700411;tree;0;0;0;0;0;0;0;1;0;0;1;2587;438;640837539;8;81;1;4;0.12;0;0;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;GS;0
287;Ecclinusa lanceolata;Sapotaceae;Ecclinusa;(Mart. & Eichler) Pierre;http://www.tropicos.org/Name/28700671;tree;0;0;0;0;0;0;1;0;0;0;0;199;86;85053664;7;93;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
288;Ecclinusa ramiflora;Sapotaceae;Ecclinusa;Mart.;http://www.tropicos.org/Name/28700215;tree;0;0;0;0;0;0;0;1;0;1;0;616;115;101679693;8;1;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
289;Endlicheria gracilis;Lauraceae;Endlicheria;Kosterm.;http://www.tropicos.org/Name/17802540;shrub/ tree;0;0;0;1;0;0;0;0;0;0;0;3;3;464259;5;67;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
290;Endlicheria griseosericea;Lauraceae;Endlicheria;Chanderb.;http://www.tropicos.org/Name/50189478;tree;0;0;0;0;0;0;1;0;0;0;0;3;2;1725106;6;24;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;VU;VU;VU;VU;EN;WAN;0
291;Endlicheria multiflora;Lauraceae;Endlicheria;(Miq.) Mez;http://www.tropicos.org/Name/17800162;tree;0;0;0;0;0;0;0;1;0;0;0;14;7;10432220;7;2;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;GS;0
292;Endopleura uchi;Humiriaceae;Endopleura;(Huber) Cuatrec.;http://www.tropicos.org/Name/15800115;tree;0;0;0;0;0;0;0;1;0;0;1;1429;186;153984131;8;19;0;NA;NA;0;1;Least Concern;2019;VU;EN;EN;EN;EN;CR;EN;CR;SA;0
293;Enterolobium cyclocarpum;Fabaceae;Enterolobium;(Jacq.) Griseb.;http://www.tropicos.org/Name/13030083;tree;0;0;0;0;0;0;0;0;1;1;0;17;13;4050082;6;61;0;NA;NA;0;1;Least Concern;2019;NA;NA;CR;CR;CR;CR;CR;CR;GS;0
294;Enterolobium maximum;Fabaceae;Enterolobium;Ducke;http://www.tropicos.org/Name/13009189;tree;0;1;0;0;0;0;0;0;0;0;1;175;43;38532522;7;59;0;NA;NA;0;1;Least Concern;2020;VU;EN;EN;EN;EN;CR;EN;CR;SA;0
295;Enterolobium oldemanii;Fabaceae;Enterolobium;Barneby & J.W. Grimes;http://www.tropicos.org/Name/50096081;tree;0;0;0;0;1;0;0;0;0;0;1;20;16;2364045;6;37;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
296;Enterolobium schomburgkii;Fabaceae;Enterolobium;(Benth.) Benth.;http://www.tropicos.org/Name/13030088;tree;0;1;1;0;1;0;1;1;0;1;1;648;244;203262309;8;31;0;NA;NA;0;1;Least Concern;2012;VU;VU;VU;VU;VU;EN;VU;EN;SA;0
297;Eperua falcata;Fabaceae;Eperua;Aubl.;http://www.tropicos.org/Name/13030093;tree;0;0;0;0;1;1;0;1;0;0;1;6377;148;1312108272;9;12;1;2;0.28;0;0;Least Concern;2019;NA;VU;EN;EN;EN;EN;EN;EN;GS;0
298;Eperua grandiflora;Fabaceae;Eperua;(Aubl.) Benth.;http://www.tropicos.org/Name/13030095;tree;0;0;0;0;1;0;0;1;0;0;1;1641;57;285321793;8;46;1;2;0.19;0;0;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;GS;0
299;Eperua jenmanii;Fabaceae;Eperua;Oliv.;http://www.tropicos.org/Name/13009200;tree;0;0;0;0;0;0;0;1;0;0;0;357;12;140591198;8;15;0;NA;NA;0;0;Least Concern;2019;NA;VU;EN;EN;EN;EN;EN;CR;GS;0
300;Eperua leucantha;Fabaceae;Eperua;Benth.;http://www.tropicos.org/Name/13030096;tree;0;0;0;0;0;0;0;0;0;1;0;1574;23;1082808046;9;3;1;2;0.14;0;0;NA;NA;NA;NA;EN;EN;EN;EN;EN;CR;GS;0
301;Eperua rubiginosa;Fabaceae;Eperua;Miq.;http://www.tropicos.org/Name/13030099;tree;0;0;0;0;1;0;0;0;0;0;1;588;10;77704704;7;89;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;EN;EN;EN;EN;EN;GS;0
302;Eperua schomburgkiana;Fabaceae;Eperua;Benth.;http://www.tropicos.org/Name/13045646;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;71;12;19652437;7;29;0;NA;NA;0;0;Least Concern;2019;NA;VU;CR;CR;CR;CR;CR;CR;GS;0
303;Eriotheca crassa;Malvaceae;Eriotheca;(Uittien) A. Robyns;http://www.tropicos.org/Name/50097912;tree;0;0;0;0;0;0;0;1;0;0;0;14;2;381072;5;58;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
304;Eriotheca globosa;Malvaceae;Eriotheca;(Aubl.) A. Robyns;http://www.tropicos.org/Name/3900649;tree;0;0;0;0;0;0;1;1;0;1;1;394;174;105666594;8;2;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;EN;SA;0
305;Eriotheca longipedicellata;Malvaceae;Eriotheca;(Ducke) A. Robyns;http://www.tropicos.org/Name/50222339;tree;0;1;0;0;0;0;0;0;0;0;1;202;81;58186264;7;76;0;NA;NA;0;1;Vulnerable;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
306;Eriotheca longitubulosa;Malvaceae;Eriotheca;A. Robyns;http://www.tropicos.org/Name/50162321;tree;0;0;0;0;0;0;0;0;0;0;1;57;36;14537534;7;16;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
307;Eriotheca surinamensis;Malvaceae;Eriotheca;(Uittien) A. Robyns;http://www.tropicos.org/Name/50222336;tree;0;0;0;0;0;0;0;1;0;0;0;34;19;10840892;7;4;0;NA;NA;0;0;NA;NA;VU;EN;EN;CR;CR;CR;CR;CR;SA;0
308;Erisma bicolor;Vochysiaceae;Erisma;Ducke;http://www.tropicos.org/Name/34100246;tree;0;0;1;0;0;0;0;0;0;0;0;218;110;75694133;7;88;0;NA;NA;0;0;NA;NA;NA;NA;EN;EN;EN;EN;EN;EN;WAN;0
309;Erisma laurifolium;Vochysiaceae;Erisma;Spruce ex Warm.;http://www.tropicos.org/Name/34100011;tree;0;0;0;0;0;0;0;0;0;0;1;298;50;125054356;8;1;0;NA;NA;0;0;NA;NA;NA;VU;VU;VU;VU;EN;VU;EN;CA;0
310;Erisma splendens;Vochysiaceae;Erisma;Stafleu;http://www.tropicos.org/Name/34100179;tree;0;0;1;0;0;0;0;0;0;0;0;92;26;40297455;7;61;0;NA;NA;0;0;NA;NA;NA;VU;EN;EN;EN;EN;EN;EN;CA;0
311;Erisma uncinatum;Vochysiaceae;Erisma;Warm.;http://www.tropicos.org/Name/34100014;tree;0;1;1;1;0;0;1;1;1;1;1;831;191;297910897;8;47;1;4;0.08;1;0;Least Concern;2020;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
312;Erythrina fusca;Fabaceae;Erythrina;Lour.;http://www.tropicos.org/Name/13030223;tree;0;0;0;0;0;0;0;0;0;0;1;41;7;21389682;7;33;0;NA;NA;0;0;Least Concern;2021;VU;VU;NA;VU;VU;VU;VU;EN;GS;0
313;Erythrina poeppigiana;Fabaceae;Erythrina;(Walp.) O.F. Cook;http://www.tropicos.org/Name/13009315;tree;0;0;0;1;0;0;0;0;1;1;0;19;9;7776386;6;89;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;EN;EN;EN;GS;0
314;Eschweilera albiflora;Lecythidaceae;Eschweilera;(DC.) Miers;http://www.tropicos.org/Name/17900349;tree;1;0;0;0;0;0;0;0;0;0;0;1414;153;917840811;8;96;1;1;0.24;0;0;Least Concern;2019;NA;VU;VU;VU;VU;EN;VU;EN;CA;0
315;Eschweilera amazonica;Lecythidaceae;Eschweilera;R. Knuth;http://www.tropicos.org/Name/50098961;tree;0;0;1;0;0;0;0;0;0;0;1;3016;196;539124254;8;73;0;NA;NA;0;0;Least Concern;2021;VU;EN;CR;EN;CR;CR;CR;CR;SA;0
316;Eschweilera chartaceifolia;Lecythidaceae;Eschweilera;S.A. Mori;http://www.tropicos.org/Name/17900335;tree;0;0;1;0;0;0;0;0;0;0;0;258;80;116529890;8;7;0;NA;NA;0;0;NA;NA;NA;VU;EN;VU;EN;EN;EN;EN;CA;0
317;Eschweilera collina;Lecythidaceae;Eschweilera;Eyma;http://www.tropicos.org/Name/17900320;tree;0;0;0;0;0;0;0;1;0;0;1;975;166;218674267;8;34;0;NA;NA;0;0;Least Concern;2020;NA;VU;EN;EN;EN;EN;EN;CR;GS;0
318;Eschweilera coriacea;Lecythidaceae;Eschweilera;(DC.) S.A. Mori;http://www.tropicos.org/Name/17900314;tree;1;1;1;0;0;0;1;1;0;1;1;16101;932;4684630963;9;67;1;4;0.36;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
319;Eschweilera decolorans;Lecythidaceae;Eschweilera;Sandwith;http://www.tropicos.org/Name/17900345;tree;0;0;0;0;0;0;0;0;0;0;1;1484;130;309687919;8;49;1;4;0.06;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;0
320;Eschweilera gigantea;Lecythidaceae;Eschweilera;(R. Knuth) J.F. Macbr.;http://www.tropicos.org/Name/17900142;tree;0;0;1;0;0;0;0;0;0;0;0;342;83;125947558;8;1;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;VU;VU;NA;NA;WAN;0
321;Eschweilera grandiflora;Lecythidaceae;Eschweilera;(Aubl.) Sandwith;http://www.tropicos.org/Name/17900343;tree;0;0;0;0;0;0;0;0;0;0;1;3305;330;849583244;8;93;1;4;0.23;0;0;NA;NA;VU;VU;EN;EN;EN;EN;CR;CR;CA;0
322;Eschweilera itayensis;Lecythidaceae;Eschweilera;R. Knuth;http://www.tropicos.org/Name/17900146;tree;0;0;1;0;0;0;0;0;0;0;0;490;87;224191012;8;35;0;NA;NA;0;0;Least Concern;2019;NA;NA;EN;EN;EN;EN;EN;EN;WAN;0
323;Eschweilera juruensis;Lecythidaceae;Eschweilera;R. Knuth;http://www.tropicos.org/Name/17900147;tree;0;0;1;0;0;0;0;0;0;1;0;113;40;39033321;7;59;0;NA;NA;0;1;NA;NA;NA;NA;VU;VU;VU;VU;VU;VU;WAN;0
324;Eschweilera micrantha;Lecythidaceae;Eschweilera;(O. Berg) Miers;http://www.tropicos.org/Name/17900043;tree;0;0;0;0;0;0;0;1;0;0;0;1324;155;199258183;8;3;0;NA;NA;0;0;Least Concern;2020;NA;VU;VU;VU;VU;EN;VU;EN;CA;0
325;Eschweilera ovata;Lecythidaceae;Eschweilera;(Cambess.) Miers;http://www.tropicos.org/Name/17900353;tree;0;0;0;0;0;0;0;0;0;0;1;313;39;87565802;7;94;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
326;Eschweilera paniculata;Lecythidaceae;Eschweilera;(O. Berg) Miers;http://www.tropicos.org/Name/17900381;tree;0;0;0;0;0;0;0;0;0;0;1;12;2;7697420;6;89;0;NA;NA;0;0;NA;NA;NA;VU;VU;EN;VU;EN;EN;EN;CA;0
327;Eschweilera parviflora;Lecythidaceae;Eschweilera;(Aubl.) Miers;http://www.tropicos.org/Name/17900362;tree;0;0;0;0;0;0;0;0;1;0;1;1859;134;507785493;8;71;1;4;0.03;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;EN;GS;0
328;Eschweilera pedicellata;Lecythidaceae;Eschweilera;(Rich.) S.A. Mori;http://www.tropicos.org/Name/17900357;tree;0;0;0;0;0;0;0;1;0;0;1;1887;295;452125976;8;66;1;4;0.18;0;0;Least Concern;2020;VU;VU;VU;VU;VU;EN;EN;EN;GS;0
329;Eschweilera sagotiana;Lecythidaceae;Eschweilera;Miers;http://www.tropicos.org/Name/17900048;tree;0;0;0;0;0;0;0;0;0;0;1;2643;97;458999602;8;66;1;4;0.08;0;0;Least Concern;2019;VU;VU;VU;EN;EN;EN;EN;CR;GS;0
330;Eschweilera simiorum;Lecythidaceae;Eschweilera;(Benoist) Eyma;http://www.tropicos.org/Name/50098917;tree;0;0;0;0;0;0;0;1;0;0;0;54;36;11562118;7;6;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
331;Eschweilera subglandulosa;Lecythidaceae;Eschweilera;(Steud. ex O. Berg) Miers;http://www.tropicos.org/Name/17900359;tree;0;0;0;0;0;0;0;1;1;1;0;908;66;253705458;8;4;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;EN;VU;EN;EN;EN;GS;0
332;Eugenia coffeifolia;Myrtaceae;Eugenia;DC.;http://www.tropicos.org/Name/22103442;tree;0;0;0;0;0;0;0;1;0;0;0;125;50;46172189;7;66;0;NA;NA;0;0;Least Concern;2019;VU;VU;EN;CR;EN;CR;CR;CR;GS;0
333;Eugenia cowanii;Myrtaceae;Eugenia;McVaugh;http://www.tropicos.org/Name/22104362;tree;0;0;0;0;0;0;0;1;0;0;0;1;1;1686610;6;23;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
334;Eugenia cupulata;Myrtaceae;Eugenia;Amshoff;http://www.tropicos.org/Name/22103276;tree;0;0;0;0;0;0;0;1;0;0;0;571;101;76534844;7;88;0;NA;NA;0;0;Least Concern;2020;VU;VU;VU;VU;EN;CR;EN;CR;SA;0
335;Eugenia flavescens;Myrtaceae;Eugenia;DC.;http://www.tropicos.org/Name/22100548;tree;0;0;0;0;0;0;0;1;0;0;0;254;40;10122006;7;1;0;NA;NA;0;0;Least Concern;2019;VU;EN;VU;VU;VU;EN;VU;EN;SA;0
336;Eugenia moschata;Myrtaceae;Eugenia;(Aubl.) Nied. ex T. Durand & B.D. Jacks.;http://www.tropicos.org/Name/100189669;tree;0;0;0;0;0;0;0;1;0;0;0;144;86;43322634;7;64;0;NA;NA;0;0;NA;NA;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
337;Eugenia myrobalana;Myrtaceae;Eugenia;DC.;http://www.tropicos.org/Name/22100683;tree;0;0;0;1;0;0;0;0;0;0;0;7;7;3577213;6;55;0;NA;NA;0;0;NA;NA;NA;NA;NA;VU;NA;NA;VU;VU;WAN;0
338;Eugenia stictopetala;Myrtaceae;Eugenia;DC.;http://www.tropicos.org/Name/22105112;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;190;58;59742237;7;78;0;NA;NA;0;0;Least Concern;2019;VU;EN;VU;EN;EN;CR;EN;CR;SA;0
339;Eugenia wullschlaegeliana;Myrtaceae;Eugenia;Amshoff;http://www.tropicos.org/Name/22103464;tree;0;0;0;0;0;0;0;1;0;0;0;2;2;310630;5;49;0;NA;NA;0;0;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;CA;0
340;Euxylophora paraensis;Rutaceae;Euxylophora;Huber;http://www.tropicos.org/Name/28100113;tree;0;1;0;0;0;0;0;0;0;0;1;41;11;5660348;6;75;0;NA;NA;0;1;Endangered;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
341;Exellodendron barbatum;Chrysobalanaceae;Exellodendron;(Ducke) Prance;http://www.tropicos.org/Name/7400418;tree;0;0;0;0;0;0;0;1;0;0;0;200;29;66157187;7;82;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
342;Faramea occidentalis;Rubiaceae;Faramea;(L.) A. Rich.;http://www.tropicos.org/Name/27902704;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;29;19;15015506;7;18;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
343;Ficus boliviana;Moraceae;Ficus;C.C. Berg;http://www.tropicos.org/Name/50159255;tree;1;0;0;0;0;0;0;0;0;1;1;10;5;5264915;6;72;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
344;Ficus casapiensis;Moraceae;Ficus;(Miq.) Miq.;http://www.tropicos.org/Name/21300499;tree;0;0;0;0;0;0;0;0;0;1;0;8;6;2102237;6;32;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;VU;VU;NA;NA;WAN;0
345;Ficus coerulescens;Moraceae;Ficus;(Rusby) Rossberg;http://www.tropicos.org/Name/21301652;tree;0;0;0;0;0;0;1;0;0;0;1;24;11;12573106;7;1;0;NA;NA;0;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
346;Ficus glabrata;Moraceae;Ficus;Kunth;http://www.tropicos.org/Name/21300502;tree;0;0;1;0;0;0;0;0;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA
347;Ficus insipida;Moraceae;Ficus;Willd.;http://www.tropicos.org/Name/21300606;tree;1;0;0;0;0;0;1;0;0;1;0;153;58;72752470;7;86;0;NA;NA;0;1;Least Concern;2019;NA;VU;VU;EN;VU;EN;EN;EN;GS;0
348;Ficus killipii;Moraceae;Ficus;Standl.;http://www.tropicos.org/Name/21300203;tree;0;0;0;0;0;0;0;0;0;1;0;44;22;13458673;7;13;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
349;Ficus mathewsii;Moraceae;Ficus;(Miq.) Miq.;http://www.tropicos.org/Name/21300503;tree;0;0;0;0;0;0;0;1;0;0;0;25;14;7235576;6;86;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
350;Ficus maxima;Moraceae;Ficus;Mill.;http://www.tropicos.org/Name/21300608;tree;0;0;0;1;0;0;0;1;0;0;0;573;185;212867355;8;33;0;NA;NA;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;EN;GS;0
351;Ficus nymphaeifolia;Moraceae;Ficus;Mill.;http://www.tropicos.org/Name/21300609;tree;0;0;0;0;0;0;0;1;0;0;1;45;31;12335009;7;9;0;NA;NA;0;0;Least Concern;2019;VU;VU;VU;VU;VU;EN;EN;EN;GS;0
352;Ficus pertusa;Moraceae;Ficus;L. f.;http://www.tropicos.org/Name/21300611;tree;0;0;0;0;0;0;1;1;0;0;0;64;29;23126039;7;36;0;NA;NA;0;0;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;EN;GS;0
353;Ficus piresiana;Moraceae;Ficus;V<e1>zq. <c1>vila & C.C. Berg;http://www.tropicos.org/Name/21301609;tree;0;0;0;0;0;0;0;0;0;0;1;30;20;8608815;6;93;0;NA;NA;0;0;Least Concern;2020;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
354;Ficus schultesii;Moraceae;Ficus;Dugand;http://www.tropicos.org/Name/21301512;tree;0;0;0;0;0;0;0;0;0;1;0;15;15;5478235;6;74;0;NA;NA;0;1;Lower Risk/least concern;1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
355;Ficus schumacheri;Moraceae;Ficus;(Liebm.) Griseb.;http://www.tropicos.org/Name/21301610;tree;0;0;0;0;0;0;0;1;0;0;0;NA;NA;NA;NA;0;NA;NA;0;0;Lower Risk/least concern;1998;VU;EN;VU;VU;VU;EN;EN;CR;GS;0;NA
356;Ficus trigona;Moraceae;Ficus;L. f.;http://www.tropicos.org/Name/21301541;tree;0;0;0;0;0;0;1;0;0;0;1;178;61;58246813;7;77;0;NA;NA;0;0;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;VU;SA;0
357;Fusaea longifolia;Annonaceae;Fusaea;(Aubl.) Saff.;http://www.tropicos.org/Name/1600733;shrub/ tree;0;0;0;0;0;0;0;1;0;0;0;527;232;136433462;8;13;0;NA;NA;0;0;Least Concern;2019;VU;VU;VU;VU;VU;VU;VU;EN;GS;0
358;Gallesia integrifolia;Petiveriaceae;Gallesia;(Spreng.) Harms;http://www.tropicos.org/Name/24800087;tree;1;1;0;1;0;0;0;0;0;1;1;216;47;128455600;8;11;0;NA;NA;0;1;Least Concern;2019;VU;VU;VU;EN;EN;EN;CR;CR;WAS;0
359;Garcinia benthamiana;Clusiaceae;Garcinia;(Planch. & Triana) Pipoly;http://www.tropicos.org/Name/50336451;tree;0;0;0;0;0;0;0;1;0;0;0;227;68;53910342;7;73;0;NA;NA;0;0;Least Concern;2021;VU;VU;CR;CR;CR;CR;CR;CR;GS;0
360;Garcinia gardneriana;Clusiaceae;Garcinia;(Planch. & Triana) Zappi;http://www.tropicos.org/Name/50153254;shrub/ tree;1;0;0;0;0;0;0;0;0;0;0;92;48;43839042;7;64;0;NA;NA;0;0;Least Concern;2019;VU;VU;EN;EN;EN;CR;EN;CR;SA;0
361;Garcinia macrophylla;Clusiaceae;Garcinia;Mart.;http://www.tropicos.org/Name/7800805;tree;0;0;0;0;0;0;0;1;0;0;0;866;286;390699569;8;59;1;4;0.11;0;0;Least Concern;2019;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
362;Garcinia madruno;Clusiaceae;Garcinia;(Kunth) Hammel;http://www.tropicos.org/Name/7801144;tree;0;0;0;0;0;0;0;1;0;0;0;507;243;234177150;8;37;0;NA;NA;0;0;Least Concern;2021;VU;VU;NA;VU;VU;VU;VU;VU;GS;0
363;Geissospermum argenteum;Apocynaceae;Geissospermum;Woodson;http://www.tropicos.org/Name/1800317;tree;0;0;0;0;0;0;0;1;0;0;0;433;90;118976099;8;8;0;NA;NA;0;0;Least Concern;2021;VU;EN;EN;EN;EN;CR;EN;CR;GS;0
364;Geissospermum laeve;Apocynaceae;Geissospermum;(Vell.) Miers;http://www.tropicos.org/Name/1802715;tree;0;0;0;0;0;0;0;1;0;0;0;567;73;91083022;7;96;0;NA;NA;0;0;NA;NA;VU;VU;EN;CR;CR;CR;CR;CR;GS;0
365;Geissospermum sericeum;Apocynaceae;Geissospermum;Benth. & Hook. f. ex Miers;http://www.tropicos.org/Name/1800319;tree;0;0;0;0;0;0;0;1;0;0;0;5912;190;402870327;8;61;1;4;0.15;0;0;Least Concern;2021;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
366;Genipa americana;Rubiaceae;Genipa;L.;http://www.tropicos.org/Name/27900116;shrub/ tree;0;0;0;1;0;0;0;1;1;1;1;247;91;107368908;8;3;0;NA;NA;0;0;Least Concern;2021;VU;VU;NA;NA;VU;VU;VU;VU;GS;0
367;Glycydendron amazonicum;Euphorbiaceae;Glycydendron;Ducke;http://www.tropicos.org/Name/12801394;tree;0;0;0;0;1;0;0;0;0;0;1;597;267;215831713;8;33;0;NA;NA;0;1;Least Concern;2020;VU;VU;VU;VU;VU;VU;VU;VU;CA;0
368;Gordonia fruticosa;Theaceae;Gordonia;(Schrad.) H. Keng;http://www.tropicos.org/Name/31600400;tree;0;0;0;0;0;0;1;1;0;1;0;32;20;12265910;7;9;0;NA;NA;0;1;Least Concern;2017;NA;NA;EN;CR;EN;EN;CR;CR;WAN;0
369;Goupia glabra;Goupiaceae;Goupia;Aubl.;http://www.tropicos.org/Name/6600338;tree;1;1;1;0;1;1;0;1;0;1;1;3194;601;831682711;8;92;1;4;0.21;1;0;Least Concern;2019;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
370;Grias neuberthii;Lecythidaceae;Grias;J.F. Macbr.;http://www.tropicos.org/Name/17900052;tree;0;0;0;1;0;0;0;0;0;0;0;486;48;89184986;7;95;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;EN;VU;VU;EN;EN;WAN;0
371;Guapira cuspidata;Nyctaginaceae;Guapira;(Heimerl) Lundell;http://www.tropicos.org/Name/22500657;tree;0;0;0;0;0;0;0;1;1;0;0;11;4;4039505;6;61;0;NA;NA;0;0;Least Concern;2019;NA;NA;VU;EN;EN;EN;EN;EN;GS;0
372;Guapira eggersiana;Nyctaginaceae;Guapira;(Heimerl) Lundell;http://www.tropicos.org/Name/22500660;tree;0;0;0;0;0;0;0;1;0;0;0;56;22;5316273;6;73;0;NA;NA;0;0;Least Concern;2019;NA;VU;EN;CR;EN;EN;CR;CR;GS;0
373;Guarea cinnamomea;Meliaceae;Guarea;Harms;http://www.tropicos.org/Name/20400619;tree;0;0;1;0;0;0;0;0;0;0;0;136;63;48480269;7;69;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;VU;VU;VU;CA;0
374;Guarea costata;Meliaceae;Guarea;A. Juss.;http://www.tropicos.org/Name/50142238;tree;0;0;0;0;0;0;0;1;0;0;0;1;1;107146;5;3;0;NA;NA;0;0;NA;NA;NA;VU;CR;CR;CR;CR;CR;CR;GS;0
375;Guarea cristata;Meliaceae;Guarea;T.D. Penn.;http://www.tropicos.org/Name/20400623;tree;0;0;1;0;0;0;0;0;0;0;0;30;16;12828480;7;11;0;NA;NA;0;0;Vulnerable;1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
376;Guarea glabra;Meliaceae;Guarea;Vahl;http://www.tropicos.org/Name/20400100;tree;0;0;0;0;0;0;1;0;0;0;0;45;26;13323478;7;12;0;NA;NA;0;0;Least Concern;2017;NA;VU;VU;EN;VU;EN;EN;EN;WAN;0
377;Guarea gomma;Meliaceae;Guarea;Pulle;http://www.tropicos.org/Name/20400103;tree;0;0;0;1;0;0;0;1;0;0;0;511;138;145572839;8;16;0;NA;NA;0;0;Least Concern;2019;NA;VU;VU;VU;VU;EN;VU;EN;CA;0
378;Guarea guidonia;Meliaceae;Guarea;(L.) Sleumer;http://www.tropicos.org/Name/20400341;tree;1;0;1;1;0;0;0;1;1;1;0;1272;247;532085906;8;73;1;5;0.1;0;1;Least Concern;2018;VU;VU;VU;VU;VU;VU;VU;EN;GS;0
379;Guarea kunthiana;Meliaceae;Guarea;A. Juss.;http://www.tropicos.org/Name/20400113;tree;0;0;1;1;0;0;1;1;0;1;0;1539;302;681362145;8;83;1;4;0.17;1;0;Least Concern;2021;NA;VU;VU;VU;VU;EN;VU;EN;CA;0
